property_id,price
d56159653f5d2abc5ed5acd7,1181293776.9531786
735deef3382aa15930482f3e,779023321.8549546
7d3220a91e78f8bc2924d1cd,974254836.7461205
d3054072b2175deec2c1f8dc,441102719.610754
b7574b06d593fca4eac59815,441016719.610754
79e822115c5c1a4531366001,510682173.6740309
dfc4f3facf91bbd93ee0fa4d,400020082.9656438
385fee7bd9ad7722d45dd034,449832154.1615759
87199c236bf22903d1aafdd0,500187645.4018285
907f968e78d748fde69dd44f,591925841.1992029
be094e5db0f784e3aa013aae,430602448.7885342
7ab96f83915bc84f8c03c1bd,408355370.08487946
07f4aa9b9ff5b0b05d31e6c0,851119232.908487
5f6ad58df27b562db077b5ce,899809054.1625557
22d6cb11333f2839b8112b89,1079032692.0379813
451744cf3ce55a98db8a3562,503128192.4300298
1338e58f7dcebf5a1ea59388,712514938.5278568
a817e8da0ada143ac87277ee,471593151.4804564
46d8bb3e9a0ca584d3c7a317,487164855.61895055
b2506aa9463aebf01e1e00ca,381719889.3251327
7ec025b9b6e6f33bf65af41b,398701987.5863316
2ff531e27672ecd2362eed55,709043530.8347481
9b3cf0d1b91b9c6a2a887647,448129042.5454871
7db5291ce4602d9b2b266872,516679660.8935663
65d5918e826c33bb950fc008,680168030.2034509
855f4b67d2bd6d18fd03d8e7,645508286.7119746
9ff06409b37e5b5dece4604a,700135682.5011443
0508cd7bd2c77ebb6fea1e56,743520158.1294369
b45fff2e718e54772d46a3fd,827292134.2113997
cf4d2297b73dbc357d21e31b,703900111.1776688
0ada7044c5b29925abc90879,733955813.9596754
6305f02255274ab5fb6bd39c,744245618.2573777
d9a94194ae1350512beff3e6,874043511.2865041
f03400cc18e12903b3ffbe5a,1159427135.2588089
d63ebc63c82fbf66d8b6ffd3,1026022644.9982029
1bd64811bd59706844230198,975883614.6816173
a83921284639eedd4a511cb6,880669170.5691329
a2f3f7a1cd573e2a33f52e2d,955517674.7490318
47344a66471fa51f61c64652,1069234929.9224617
78fd849c9429091347d7e5c9,974242922.2703942
52864916eb1984abca41ec66,1296627381.6478207
c62494a9d7aede44f2f84023,1132013548.4731843
a2b576643f7a032371587e5e,1068886702.0983611
e53bc68f0e97ccead24f3e56,493829410.3767763
fd82c710aad91bc90af490fe,577727486.8174125
ab388cb4fa511968783bafee,403192627.7146796
6a4f08cd04d558a56af732d9,553173428.1126406
a493488dcd906dc74cf8a604,871163516.9072403
7844b0b2bc65dced90a355c6,987639186.1718329
c1976383069b6b82ab29d092,547549786.1750493
e5cfd99e2308b7b73581dbdc,505299763.9194012
c18c2ea88f4ac53970b53d2c,531173667.9499856
842c9f0e4edf1e5a672ce15e,996911265.3624437
79e643789a85dc4ffad49a25,703991882.5208747
a446507813234e358db8b573,692942426.3931888
c8ef57ddfb35061d1876f94e,970046048.2408501
360be0df2c003005e3db080e,1090800326.559782
9ab245a4c91877cb7a8661ce,1124683584.127737
ceba7d0f56f6cb03538962fb,690426698.6992798
d37a1dda09e30da13ff5bfc3,803981722.9630859
68a8b8d077a8232723bf37e9,887841284.0425404
e1eea7716ca6490b7640717a,847785673.7324997
4ae6d75b10848d259ecba576,864169946.0627639
84a2673eccd3cf3bd7fd3eb0,1354782241.4636807
