property_id,price
d56159653f5d2abc5ed5acd7,935885223.736687
735deef3382aa15930482f3e,600303511.698206
7d3220a91e78f8bc2924d1cd,1009964480.90042
d3054072b2175deec2c1f8dc,538635370.817212
b7574b06d593fca4eac59815,538312874.651965
79e822115c5c1a4531366001,480723474.129187
dfc4f3facf91bbd93ee0fa4d,302819772.558144
385fee7bd9ad7722d45dd034,422139958.886853
87199c236bf22903d1aafdd0,472628267.027183
907f968e78d748fde69dd44f,607360005.610677
be094e5db0f784e3aa013aae,467154947.781049
7ab96f83915bc84f8c03c1bd,444783133.811203
07f4aa9b9ff5b0b05d31e6c0,714454339.545253
5f6ad58df27b562db077b5ce,690721104.511433
22d6cb11333f2839b8112b89,1135003077.51246
451744cf3ce55a98db8a3562,411364214.918022
1338e58f7dcebf5a1ea59388,389405701.947598
a817e8da0ada143ac87277ee,365478044.783252
46d8bb3e9a0ca584d3c7a317,387555508.470703
b2506aa9463aebf01e1e00ca,437055503.374417
7ec025b9b6e6f33bf65af41b,386727009.007569
2ff531e27672ecd2362eed55,600859087.85028
9b3cf0d1b91b9c6a2a887647,449585117.520031
7db5291ce4602d9b2b266872,449082037.566903
65d5918e826c33bb950fc008,583954281.107467
855f4b67d2bd6d18fd03d8e7,595219659.229199
9ff06409b37e5b5dece4604a,591470297.481036
0508cd7bd2c77ebb6fea1e56,568889545.942331
b45fff2e718e54772d46a3fd,566965720.655003
cf4d2297b73dbc357d21e31b,524435590.035991
0ada7044c5b29925abc90879,602512814.255727
6305f02255274ab5fb6bd39c,530488953.176385
d9a94194ae1350512beff3e6,703654172.824804
f03400cc18e12903b3ffbe5a,1278349756.94261
d63ebc63c82fbf66d8b6ffd3,1058256048.66831
1bd64811bd59706844230198,1038427074.31781
a83921284639eedd4a511cb6,485952405.664564
a2f3f7a1cd573e2a33f52e2d,836309976.569525
47344a66471fa51f61c64652,964387834.251917
78fd849c9429091347d7e5c9,1059787150.33876
52864916eb1984abca41ec66,1205899915.93135
c62494a9d7aede44f2f84023,1102696015.19249
a2b576643f7a032371587e5e,1026174396.29122
