"","x"
"1",792.830969188126
"2",410.165007331515
"3",2174.36825461896
"4",334.457393583861
"5",2140.91271167149
"6",966.790673121617
"7",1021.01953069808
"8",921.457999237139
"9",959.523562823093
"10",791.191290536485
"11",601.369959624541
"12",968.612719944095
"13",968.612719944095
"14",910.358018696267
"15",666.514789943211
"16",1910.90174801989
"17",398.91453044477
"18",399.690227470289
"19",746.695021743241
"20",573.827801503042
"21",356.065600916262
"22",356.065600916262
"23",267.205474949515
"24",978.117104377439
"25",417.723335157985
"26",419.163564911463
"27",954.065557606079
"28",775.150443921017
"29",775.150443921017
"30",1047.43263976931
"31",838.941066591471
"32",1865.85200125464
"33",689.509061864779
"34",1441.77757399372
"35",518.15412744737
"36",1344.67111147251
"37",502.826966367908
"38",358.97543681529
"39",340.479117898716
"40",397.325240708923
"41",613.88033070555
"42",649.922320577123
"43",700.406330817639
"44",274.674230910779
"45",359.404062262258
"46",586.925291992436
"47",329.165054820783
"48",423.855957709718
"49",1047.43263976931
"50",614.154027655316
"51",201.816976900654
"52",397.325240708923
"53",214.253365115235
"54",214.253365115235
"55",409.083050493052
"56",1648.79156847575
"57",539.812267229699
"58",293.944509147378
"59",232.403982803834
"60",285.87291641625
"61",963.180903622485
"62",43.5854762371499
"63",672.69756719816
"64",1406.45712532158
"65",865.713769194973
"66",372.667299920418
"67",922.23914615916
"68",1030.03173155156
"69",1195.88132633288
"70",1181.46538072228
"71",351.618708001944
"72",2047.42922251956
"73",507.627994946977
"74",725.892678914231
"75",704.920462947798
"76",724.729981788057
"77",706.889875924576
"78",346.184579628149
"79",713.265153887006
"80",563.657802414433
"81",1567.55537464089
"82",461.217840465829
"83",658.868216835184
"84",304.465012510485
"85",856.13175357902
"86",769.352365603229
"87",144.846529176678
"88",872.053308617859
"89",184.211383422964
"90",574.275992972842
"91",365.426435903179
"92",725.892678914231
"93",1024.76075269459
"94",365.426435903179
"95",958.741898909336
"96",805.262534237131
"97",850.945030194858
"98",683.868547812031
"99",423.129765788905
"100",161.420079363797
"101",219.988554547598
"102",1555.26319427782
"103",234.549282856987
"104",767.389398972097
"105",673.642925292661
"106",153.758425473058
"107",281.523499575029
"108",487.975288628431
"109",440.083874059678
"110",440.083874059678
"111",590.680215824636
"112",754.154329075543
"113",498.6507567754
"114",331.686000728423
"115",1290.53478830732
"116",379.636513276414
"117",355.818711477848
"118",313.832688729975
"119",176.708996987123
"120",1294.04511493539
"121",355.818711477848
"122",139.71920904591
"123",1132.67324499606
"124",291.841037174766
"125",579.596219627458
"126",369.81254175969
"127",801.613280413648
"128",423.855957709718
"129",1174.15290761155
"130",564.393734250643
"131",369.81254175969
"132",369.81254175969
"133",423.911889207394
"134",376.703870422018
"135",700.969034669384
"136",149.446073761207
"137",344.212416587456
"138",1248.02283883782
"139",1047.43263976931
"140",481.264493397545
"141",360.655167153644
"142",775.150443921017
"143",117.534778701511
"144",93.7737054158599
"145",416.90669851529
"146",273.828680297974
"147",379.082415426314
"148",587.349158382757
"149",757.574534624415
"150",324.877055648054
"151",344.212416587456
"152",1077.55436869086
"153",530.021990731129
"154",723.829168990144
"155",568.666387511042
"156",379.082415426314
"157",510.326547395217
"158",856.13175357902
"159",99.4288804148024
"160",333.572340840752
"161",552.113496860766
"162",602.085199371183
"163",699.461529847282
"164",773.630047675966
"165",453.365134786712
"166",636.25888801579
"167",637.671393724168
"168",864.848987901849
"169",1069.52535827101
"170",1069.52535827101
"171",1347.33202349181
"172",1180.60689869443
"173",695.016879403569
"174",1220.10475309052
"175",1842.97971919559
"176",2384.63052320259
"177",1810.06562594136
"178",510.715540210542
"179",2012.23680170816
"180",824.480014128509
"181",1434.47567916331
"182",1499.14429891438
"183",148.569805959245
"184",148.569805959245
"185",398.610142628876
"186",940.146214786577
"187",200.091642743938
"188",215.628147673207
"189",586.38541075598
"190",208.872198721469
"191",163.973073895423
"192",501.227274602407
"193",666.514789943211
"194",218.411374140728
"195",826.781461904848
"196",318.322251326315
"197",1269.33003415919
"198",652.732910309032
"199",1864.97012129677
"200",2139.26389733281
"201",918.320005149461
"202",1258.36615470282
"203",1911.33056548803
"204",1411.29721351638
"205",1411.29721351638
"206",539.559112003355
"207",227.834634650261
"208",395.239125546288
"209",695.242293512488
"210",564.393734250643
"211",301.467643399029
"212",699.461529847282
"213",453.904586081983
"214",416.90669851529
"215",752.252470777515
"216",405.609759942561
"217",700.969034669384
"218",447.100612414951
"219",501.227274602407
"220",954.872831752435
"221",756.012348325652
"222",172.529096411888
"223",279.256550299528
"224",1204.96537283886
"225",2145.64029228619
"226",618.664095950487
"227",1144.89181221143
"228",1147.01907592753
"229",725.892678914231
"230",410.651077203065
"231",508.045837239486
"232",108.451879477066
"233",308.818191910449
"234",368.157385834362
"235",321.589455492832
"236",771.976391699858
"237",757.739338489848
"238",467.197516832041
"239",578.963857891233
"240",1448.14009751223
"241",289.268294518295
"242",544.516986773685
"243",316.162505356957
"244",727.952069085969
"245",295.828587997362
"246",927.435559136664
"247",193.453069131566
"248",430.696799978968
"249",1223.43211342069
"250",2258.98688523959
"251",1399.58059299709
"252",411.666748390401
"253",2435.64908183821
"254",953.900714083034
"255",915.175679817931
"256",377.861683645645
"257",188.244215732862
"258",593.94879691483
"259",312.209226864418
"260",214.253365115235
"261",214.253365115235
"262",960.101029910553
"263",866.125283187854
"264",592.049543644408
"265",587.349158382757
"266",144.716430612733
"267",427.692281877326
"268",625.943452835303
"269",254.101772796911
"270",425.901923351125
"271",299.748889296912
"272",860.189048756433
"273",1578.60945792481
"274",1159.55205332403
"275",335.529847811685
"276",202.626614958396
"277",461.217840465829
"278",794.966272572555
"279",179.040219625033
"280",732.255182248928
"281",360.656733696951
"282",732.255182248928
"283",843.874238123626
"284",396.004049268204
"285",461.217840465829
"286",663.779716508304
"287",160.596596996277
"288",499.709453118496
"289",466.290709750729
"290",742.324433517761
"291",971.642951558394
"292",637.671393724168
"293",384.284703125033
"294",960.584424596148
"295",241.061881252123
"296",683.261119715851
"297",1827.26577616231
"298",1415.81296452025
"299",1079.74003265635
"300",1179.21992860026
"301",892.44084362361
"302",749.701158830736
"303",2245.28831685839
"304",1655.38031435996
"305",761.288569275833
"306",400.670764050052
"307",1323.48553536723
"308",1535.68540626605
"309",2059.4761210794
"310",2060.09893297959
"311",1217.22834351962
"312",250.174686721065
"313",725.892678914231
"314",915.170641466464
"315",810.768166259948
"316",2032.71563909275
"317",1655.38031435996
"318",1167.10661382199
"319",1033.55911614055
"320",677.318166081567
"321",1230.51280251494
"322",487.11547777741
"323",311.237978059485
"324",1162.17109492846
"325",1293.80636739607
"326",983.52312536379
"327",1546.96051516387
"328",870.49234255839
"329",2154.3605932044
"330",568.666387511042
"331",575.363129140973
"332",214.253365115235
"333",214.253365115235
"334",88.9264220820065
"335",841.213469568718
"336",423.855957709718
"337",856.13175357902
"338",841.213469568718
"339",302.29165299949
"340",856.13175357902
"341",841.213469568718
"342",1174.15290761155
"343",1047.43263976931
"344",494.274653178473
"345",214.880569771929
"346",274.883033949857
"347",284.931958934849
"348",274.883033949857
"349",847.207817796978
"350",944.064793663336
"351",145.491936544083
"352",821.124068921438
"353",334.828183324466
"354",284.931958934849
"355",274.883033949857
"356",1089.50923814526
"357",214.880569771929
"358",1106.68713697121
"359",274.883033949857
"360",503.73381228354
"361",642.829727215947
"362",658.236363963163
"363",866.701088341189
"364",130.910560213309
"365",642.829727215947
"366",810.47822814373
"367",551.652528897248
"368",289.113238640751
"369",1050.24865693172
"370",296.562727987988
"371",930.382106438339
"372",381.90353305922
"373",907.497763566747
"374",848.525243583721
"375",1402.06224933691
"376",402.766031194316
"377",993.482845229424
"378",1085.35485067358
"379",435.067328412271
"380",1004.68187053103
"381",1127.20733162208
"382",842.349989134532
"383",170.477783363418
"384",1118.41654875942
"385",257.524420882203
"386",979.400630628215
"387",305.037314828336
"388",182.542446358905
"389",592.817408768855
"390",334.923841882804
"391",254.310782133806
"392",1024.78652411359
"393",374.907248071925
"394",34.925574371911
"395",795.154893635327
"396",381.689078756444
"397",847.131474473304
"398",518.858744826995
"399",449.587662232726
"400",574.481468468142
"401",396.743417780839
"402",264.401923923771
"403",1015.94508478477
"404",1460.8337057499
"405",559.376248272213
"406",274.63408571957
"407",426.706953785288
"408",850.24927679681
"409",682.781878383055
"410",817.877173096046
"411",142.907973950528
"412",364.563200455883
"413",529.752987242447
"414",1012.46189550305
"415",229.477586721138
"416",1127.80970906462
"417",161.438218670569
"418",673.325669478341
"419",428.001998264155
"420",425.43229845896
"421",1229.96527436096
"422",835.809304697447
"423",376.5595680932
"424",559.602245482118
"425",649.802383929174
"426",286.221430763465
"427",520.671350477045
"428",389.612292474313
"429",311.778266148274
"430",1114.68471523008
"431",476.816670398587
"432",1989.09960256432
"433",1777.53263194656
"434",1579.35253825916
"435",618.673726676406
"436",260.226794141053
"437",787.544628905506
"438",789.778617577716
"439",439.050979421816
"440",963.180903622485
"441",341.257353773062
"442",797.432679188961
"443",758.954516822949
"444",97.6102087641825
"445",453.620400927388
"446",894.459063844827
"447",974.899785742163
"448",589.483071133873
"449",824.989561880903
"450",693.257825162813
"451",693.357919350981
"452",692.75740500789
"453",365.429171178834
"454",693.157734358497
"455",812.173323891898
"456",514.733533909452
"457",514.733533909452
"458",514.733533909452
"459",693.344369807878
"460",693.357919350981
"461",693.157734358497
"462",275.116690659212
"463",693.157734358497
"464",821.866433218987
"465",693.447669748855
"466",905.433825405168
"467",693.447669748855
"468",293.441135185877
"469",727.486286246496
"470",800.662793827484
"471",1158.24919248298
"472",90.3883093000443
"473",432.828538266872
"474",1204.95467353284
"475",371.574620440839
"476",883.718415297244
"477",541.299631362228
"478",446.606112355409
"479",1181.5089328118
"480",1236.19826435703
"481",561.107915872645
"482",234.415380735276
"483",1358.05826782448
"484",1017.84554648573
"485",960.68245326954
"486",964.387778511365
"487",1227.63219449725
"488",165.67370871254
"489",603.98306730497
"490",360.125479763673
"491",384.758465415396
"492",920.900913518919
"493",362.533855537896
"494",115.097443462418
"495",1566.24154461419
"496",135.525877757532
"497",1343.37792061028
"498",689.911855204573
"499",340.353843568754
"500",472.645996427534
"501",1273.79607034025
"502",1273.79607034025
"503",365.426435903179
"504",452.936316632531
"505",245.077252854361
"506",324.126996754564
"507",239.086002637899
"508",2006.16469263014
"509",539.278009963626
"510",1040.73751005209
"511",1040.73751005209
"512",161.968658138723
"513",643.863017049834
"514",251.98065395863
"515",439.969072583206
"516",178.763658398923
"517",189.36827699519
"518",317.516722362953
"519",213.133735361033
"520",239.618083103549
"521",681.360368424887
"522",21.1072028880945
"523",451.972118951721
"524",313.300987349453
"525",496.669941508885
"526",452.024916957501
"527",313.832688729975
"528",1083.22032185894
"529",564.393734250643
"530",163.973073895423
"531",423.855957709718
"532",1348.74065736216
"533",176.708996987123
"534",291.841037174766
"535",884.496055463735
"536",68.2899962834255
"537",267.205474949515
"538",838.193482259033
"539",1047.43263976931
"540",700.969034669384
"541",634.421433685762
"542",445.11916351601
"543",481.264493397545
"544",273.828680297974
"545",343.477699404428
"546",457.235677474163
"547",1348.74065736216
"548",775.150443921017
"549",324.877055648054
"550",587.349158382757
"551",1181.5089328118
"552",447.998322070783
"553",416.90669851529
"554",563.657802414433
"555",1024.76075269459
"556",457.235677474163
"557",634.6250491084
"558",856.13175357902
"559",732.255182248928
"560",699.461529847282
"561",398.91453044477
"562",856.13175357902
"563",153.474508997022
"564",940.146214786577
"565",274.874738464702
"566",699.461529847282
"567",913.999735548039
"568",61.6913431360455
"569",1793.5087125263
"570",203.699299017294
"571",346.243116957508
"572",739.518466774934
"573",349.517704433398
"574",913.438701176176
"575",1069.52535827101
"576",721.117031540637
"577",141.069317787864
"578",1364.40496496224
"579",263.698936409321
"580",1249.81495246772
"581",216.111834313064
"582",279.256550299528
"583",1060.61786052882
"584",1450.60758889367
"585",463.440344573757
"586",2021.98978817765
"587",430.906911332592
"588",286.164754716865
"589",334.457393583861
"590",283.031027927057
"591",365.981282104974
"592",416.860109407813
"593",517.904987438434
"594",257.40803393829
"595",520.984290510725
"596",383.914058489227
"597",1196.71504762119
"598",556.339446409605
"599",391.303204923209
"600",1780.59893953953
"601",1249.81495246772
"602",656.025413603393
"603",717.692959446087
"604",436.255877257677
"605",1411.04667905211
"606",912.636283720642
"607",709.320242856887
"608",396.004049268204
"609",709.320242856887
"610",315.732251748488
"611",713.792724257227
"612",221.401373681587
"613",1500.29262233782
"614",744.667333206295
"615",2017.59111638018
"616",423.855957709718
"617",587.349158382757
"618",1117.71698047933
"619",445.742992449928
"620",750.44350817584
"621",1047.43263976931
"622",750.44350817584
"623",410.163940562391
"624",796.288270012624
"625",750.44350817584
"626",253.091062157578
"627",445.742992449928
"628",750.44350817584
"629",1073.82013909895
"630",1500.29262233782
"631",1500.29262233782
"632",1500.29262233782
"633",1500.29262233782
"634",350.212391231203
"635",2200.02548499999
"636",1742.76866424093
"637",1224.50796449892
"638",1998.33534810154
"639",743.190536269064
"640",203.505920337293
"641",609.528711199216
"642",420.397962270743
"643",1070.82177400859
"644",568.666387511042
"645",1268.36682551284
"646",563.657802414433
"647",430.603073676989
"648",732.437031022093
"649",699.461529847282
"650",392.533946063544
"651",212.589879029211
"652",579.035312443913
"653",430.603073676989
"654",610.003715902505
"655",358.236928872969
"656",51.6500303284062
"657",495.15898562011
"658",773.630047675966
"659",775.150443921017
"660",2227.90705814292
"661",347.644551816548
"662",812.294735835845
"663",790.064131325722
"664",224.528070836449
"665",1302.75262612426
"666",397.879459888139
"667",1109.57899468141
"668",489.573840250825
"669",464.855468298554
"670",484.970671345141
"671",1619.53253074328
"672",1499.00002252842
"673",95.8920810537822
"674",392.183657203478
"675",78.1223819358219
"676",1319.25803361235
"677",1190.18465811024
"678",481.264493397545
"679",937.703594227509
"680",647.025247149698
"681",304.465012510485
